,VoltageP1,VoltageP2,TimeIndex
0,5.0,0.0,1772666464.0455914
1,143.8855,0.0,1772666464.1483233
2,5.0,140.137,1772666464.2491467
3,143.299,0.0,1772666464.3533156
4,5.0,0.0,1772666464.4556904
5,5.0,0.0,1772666464.557806
6,5.0,0.0,1772666464.660583
7,5.0,0.0,1772666464.7615414
8,5.0,0.0,1772666464.8638873
9,5.0,0.0,1772666464.9670508
10,5.0,0.0,1772666465.069478
11,143.299,0.0,1772666465.1726947
12,5.0,1.095,1772666465.2755177
13,5.0,0.0,1772666465.37617
14,5.0,0.0,1772666465.478429
15,5.0,79.4525,1772666465.5819757
16,0.0635,0.0,1772666465.6843467
17,5.0,0.313,1772666465.7867386
18,5.0,0.2395,1772666465.8887086
19,5.0,0.10250000000000001,1772666465.9912477
20,5.0,140.137,1772666466.094267
21,5.0,0.0,1772666466.1961703
22,5.0,0.0,1772666466.2965658
23,5.0,0.0,1772666466.397496
24,140.137,0.0,1772666466.4995131
25,5.0,0.0,1772666466.6016552
26,5.0,0.0,1772666466.7033753
27,5.0,80.5475,1772666466.8049788
28,5.0,143.265,1772666466.9120169
29,5.0,0.0,1772666467.014934
30,143.8855,0.0,1772666467.1170676
31,0.6205,0.0,1772666467.2179754
32,1.1195,0.0,1772666467.3191302
33,5.0,0.0,1772666467.420818
34,5.0,0.0,1772666467.5219653
35,5.0,0.0,1772666467.6249237
36,5.0,79.4525,1772666467.728357
37,5.0,140.171,1772666467.8303282
38,5.0,1.207,1772666467.9323595
39,5.0,1.432,1772666468.0345588
40,57.424,0.42500000000000004,1772666468.1371953
41,5.0,140.36149999999998,1772666468.2398334
42,5.0,0.0,1772666468.3422797
43,5.0,0.0,1772666468.4443357
44,5.0,0.953,1772666468.5472734
45,143.299,1.6520000000000001,1772666468.6498442
46,5.0,1.183,1772666468.7521186
47,5.0,0.6405,1772666468.8524902
48,143.299,0.0,1772666468.9537961
49,5.0,0.0,1772666469.0549378
50,5.0,0.0,1772666469.156867
51,5.0,0.0,1772666469.2594602
52,5.0,140.137,1772666469.3622947
53,140.7575,0.1465,1772666469.465382
54,5.0,0.27849999999999997,1772666469.5704455
55,5.0,143.54850000000002,1772666469.6745408
56,5.0,0.0,1772666469.7758155
57,5.0,1.1195,1772666469.8796508
58,5.0,0.0,1772666469.9800274
59,5.0,0.0,1772666470.082549
60,5.0,0.0,1772666470.185134
61,5.0,0.0,1772666470.287174
62,5.0,0.0,1772666470.3900707
63,5.0,0.171,1772666470.490834
64,143.299,0.10250000000000001,1772666470.5917835
65,5.0,0.1615,1772666470.693266
66,5.0,0.41050000000000003,1772666470.7952733
67,5.0,3.827,1772666470.898372
68,5.0,2.351,1772666470.9997437
69,5.0,0.8945000000000001,1772666471.1019232
70,5.0,0.2395,1772666471.205197
71,5.0,0.0,1772666471.3078134
72,5.0,0.0,1772666471.4097574
73,5.0,140.137,1772666471.51202
74,5.0,0.0,1772666471.6169863
